file,package,type,code,status,elapsed,output,R
out/programs/stringr/examples/str_locate.Rd.R,stringr,examples,10,0,0.16999999999999993,NA,vanilla
out/programs/stringr/examples/str_locate.Rd.R,stringr,examples,10,0,0.7160000000000011,NA,vanilla-gdb
out/programs/stringr/examples/str_locate.Rd.R,stringr,examples,10,0,2.099,NA,dyntrace
out/programs/stringr/examples/str_locate.Rd.R,stringr,examples,10,0,3.299999999999997,NA,dyntrace-gdb
out/programs/stringr/examples/str_match.Rd.R,stringr,examples,15,0,0.1720000000000006,NA,vanilla
out/programs/stringr/examples/str_match.Rd.R,stringr,examples,15,0,0.6930000000000014,NA,vanilla-gdb
out/programs/stringr/examples/str_match.Rd.R,stringr,examples,15,0,1.8649999999999984,NA,dyntrace
out/programs/stringr/examples/str_match.Rd.R,stringr,examples,15,0,3.2090000000000174,NA,dyntrace-gdb
out/programs/stringr/examples/str_order.Rd.R,stringr,examples,8,0,0.17000000000000082,NA,vanilla
out/programs/stringr/examples/str_order.Rd.R,stringr,examples,8,0,0.7010000000000005,NA,vanilla-gdb
out/programs/stringr/examples/str_order.Rd.R,stringr,examples,8,0,1.8580000000000005,NA,dyntrace
out/programs/stringr/examples/str_order.Rd.R,stringr,examples,8,0,3.2069999999999936,NA,dyntrace-gdb
out/programs/stringr/examples/str_pad.Rd.R,stringr,examples,10,0,0.1689999999999996,NA,vanilla
out/programs/stringr/examples/str_pad.Rd.R,stringr,examples,10,0,0.7019999999999982,NA,vanilla-gdb
out/programs/stringr/examples/str_pad.Rd.R,stringr,examples,10,0,2.4909999999999997,NA,dyntrace
out/programs/stringr/examples/str_pad.Rd.R,stringr,examples,10,0,3.2789999999999964,NA,dyntrace-gdb
out/programs/stringr/examples/str_remove.Rd.R,stringr,examples,4,0,0.1720000000000006,NA,vanilla
out/programs/stringr/examples/str_remove.Rd.R,stringr,examples,4,0,0.6799999999999997,NA,vanilla-gdb
out/programs/stringr/examples/str_remove.Rd.R,stringr,examples,4,0,2.725999999999999,NA,dyntrace
out/programs/stringr/examples/str_remove.Rd.R,stringr,examples,4,0,3.2690000000000055,NA,dyntrace-gdb
out/programs/stringr/examples/str_replace.Rd.R,stringr,examples,23,0,0.2109999999999994,NA,vanilla
out/programs/stringr/examples/str_replace.Rd.R,stringr,examples,23,0,0.8730000000000011,NA,vanilla-gdb
out/programs/stringr/examples/str_replace.Rd.R,stringr,examples,23,0,2.5689999999999955,NA,dyntrace
out/programs/stringr/examples/str_replace.Rd.R,stringr,examples,23,0,3.2770000000000152,NA,dyntrace-gdb
out/programs/stringr/examples/str_replace_na.Rd.R,stringr,examples,2,0,0.1670000000000007,NA,vanilla
out/programs/stringr/examples/str_replace_na.Rd.R,stringr,examples,2,0,0.6539999999999999,NA,vanilla-gdb
out/programs/stringr/examples/str_replace_na.Rd.R,stringr,examples,2,0,1.963000000000001,NA,dyntrace
out/programs/stringr/examples/str_replace_na.Rd.R,stringr,examples,2,0,3.204999999999984,NA,dyntrace-gdb
out/programs/stringr/examples/str_split.Rd.R,stringr,examples,12,0,0.17900000000000027,NA,vanilla
out/programs/stringr/examples/str_split.Rd.R,stringr,examples,12,0,0.6899999999999977,NA,vanilla-gdb
out/programs/stringr/examples/str_split.Rd.R,stringr,examples,12,0,1.7730000000000032,NA,dyntrace
out/programs/stringr/examples/str_split.Rd.R,stringr,examples,12,0,3.2040000000000077,NA,dyntrace-gdb
out/programs/stringr/examples/str_starts.Rd.R,stringr,examples,6,0,0.1719999999999997,NA,vanilla
out/programs/stringr/examples/str_starts.Rd.R,stringr,examples,6,0,0.6820000000000022,NA,vanilla-gdb
out/programs/stringr/examples/str_starts.Rd.R,stringr,examples,6,0,1.402000000000001,NA,dyntrace
out/programs/stringr/examples/str_starts.Rd.R,stringr,examples,6,0,3.2860000000000014,NA,dyntrace-gdb
out/programs/stringr/examples/str_sub.Rd.R,stringr,examples,26,0,0.17099999999999937,NA,vanilla
out/programs/stringr/examples/str_sub.Rd.R,stringr,examples,26,0,0.7059999999999995,NA,vanilla-gdb
out/programs/stringr/examples/str_sub.Rd.R,stringr,examples,26,0,1.4889999999999972,NA,dyntrace
out/programs/stringr/examples/str_sub.Rd.R,stringr,examples,26,0,3.3000000000000114,NA,dyntrace-gdb
out/programs/stringr/examples/str_subset.Rd.R,stringr,examples,11,0,0.17100000000000026,NA,vanilla
out/programs/stringr/examples/str_subset.Rd.R,stringr,examples,11,0,0.7949999999999982,NA,vanilla-gdb
out/programs/stringr/examples/str_subset.Rd.R,stringr,examples,11,0,1.4420000000000002,NA,dyntrace
out/programs/stringr/examples/str_subset.Rd.R,stringr,examples,11,0,3.1829999999999927,NA,dyntrace-gdb
out/programs/stringr/examples/str_trim.Rd.R,stringr,examples,5,0,0.17600000000000016,NA,vanilla
out/programs/stringr/examples/str_trim.Rd.R,stringr,examples,5,0,0.745000000000001,NA,vanilla-gdb
out/programs/stringr/examples/str_trim.Rd.R,stringr,examples,5,0,1.4939999999999998,NA,dyntrace
out/programs/stringr/examples/str_trim.Rd.R,stringr,examples,5,0,3.2539999999999907,NA,dyntrace-gdb
out/programs/stringr/examples/str_trunc.Rd.R,stringr,examples,7,0,0.1770000000000005,NA,vanilla
out/programs/stringr/examples/str_trunc.Rd.R,stringr,examples,7,0,0.7560000000000002,NA,vanilla-gdb
out/programs/stringr/examples/str_trunc.Rd.R,stringr,examples,7,0,1.6730000000000018,NA,dyntrace
out/programs/stringr/examples/str_trunc.Rd.R,stringr,examples,7,0,3.25,NA,dyntrace-gdb
out/programs/stringr/examples/str_view.Rd.R,stringr,examples,8,0,0.3070000000000004,NA,vanilla
out/programs/stringr/examples/str_view.Rd.R,stringr,examples,8,0,1.2989999999999995,NA,vanilla-gdb
out/programs/stringr/examples/str_view.Rd.R,stringr,examples,8,0,4.241999999999997,NA,dyntrace
out/programs/stringr/examples/str_view.Rd.R,stringr,examples,8,0,4.997000000000014,NA,dyntrace-gdb
out/programs/stringr/examples/str_wrap.Rd.R,stringr,examples,9,0,0.17900000000000027,NA,vanilla
out/programs/stringr/examples/str_wrap.Rd.R,stringr,examples,9,0,0.7079999999999984,NA,vanilla-gdb
out/programs/stringr/examples/str_wrap.Rd.R,stringr,examples,9,0,2.0060000000000002,NA,dyntrace
out/programs/stringr/examples/str_wrap.Rd.R,stringr,examples,9,0,3.306999999999988,NA,dyntrace-gdb
out/programs/stringr/examples/stringr-data.Rd.R,stringr,examples,7,0,0.17099999999999937,NA,vanilla
out/programs/stringr/examples/stringr-data.Rd.R,stringr,examples,7,0,0.8249999999999993,NA,vanilla-gdb
out/programs/stringr/examples/stringr-data.Rd.R,stringr,examples,7,0,2.2340000000000018,NA,dyntrace
out/programs/stringr/examples/stringr-data.Rd.R,stringr,examples,7,0,3.2439999999999998,NA,dyntrace-gdb
out/programs/stringr/examples/word.Rd.R,stringr,examples,11,0,0.17400000000000126,NA,vanilla
out/programs/stringr/examples/word.Rd.R,stringr,examples,11,0,0.7660000000000018,NA,vanilla-gdb
out/programs/stringr/examples/word.Rd.R,stringr,examples,11,0,2.5459999999999994,NA,dyntrace
out/programs/stringr/examples/word.Rd.R,stringr,examples,11,0,3.2419999999999902,NA,dyntrace-gdb
out/programs/stringr/tests/testthat.R,stringr,tests,3,0,0.7690000000000001,NA,vanilla
out/programs/stringr/tests/testthat.R,stringr,tests,3,0,3.8930000000000007,NA,vanilla-gdb
out/programs/stringr/tests/testthat.R,stringr,tests,3,0,7.139000000000003,NA,dyntrace
out/programs/stringr/tests/testthat.R,stringr,tests,3,0,11.357,NA,dyntrace-gdb
out/programs/withr/examples/defer.Rd.R,stringr,examples,NA,0,0.20300000000000118,NA,vanilla
out/programs/withr/examples/defer.Rd.R,stringr,examples,NA,0,0.8549999999999969,NA,vanilla-gdb
out/programs/withr/examples/defer.Rd.R,stringr,examples,NA,0,1.8889999999999958,NA,dyntrace
out/programs/withr/examples/defer.Rd.R,stringr,examples,NA,0,2.382000000000005,NA,dyntrace-gdb
out/programs/withr/examples/devices.Rd.R,stringr,examples,NA,0,0.20500000000000007,NA,vanilla
out/programs/withr/examples/devices.Rd.R,stringr,examples,NA,0,0.8260000000000005,NA,vanilla-gdb
out/programs/withr/examples/devices.Rd.R,stringr,examples,NA,0,1.9249999999999972,NA,dyntrace
out/programs/withr/examples/devices.Rd.R,stringr,examples,NA,0,2.8689999999999998,NA,dyntrace-gdb
out/programs/withr/examples/with_.Rd.R,stringr,examples,NA,0,0.1590000000000007,NA,vanilla
out/programs/withr/examples/with_.Rd.R,stringr,examples,NA,0,0.6159999999999997,NA,vanilla-gdb
out/programs/withr/examples/with_.Rd.R,stringr,examples,NA,0,1.3449999999999989,NA,dyntrace
out/programs/withr/examples/with_.Rd.R,stringr,examples,NA,0,2.15300000000002,NA,dyntrace-gdb
out/programs/withr/examples/with_collate.Rd.R,stringr,examples,NA,0,0.16799999999999926,NA,vanilla
out/programs/withr/examples/with_collate.Rd.R,stringr,examples,NA,0,0.6030000000000015,NA,vanilla-gdb
out/programs/withr/examples/with_collate.Rd.R,stringr,examples,NA,0,1.183000000000007,NA,dyntrace
out/programs/withr/examples/with_collate.Rd.R,stringr,examples,NA,0,2.2180000000000177,NA,dyntrace-gdb
out/programs/withr/examples/with_connection.Rd.R,stringr,examples,NA,0,0.15500000000000114,NA,vanilla
out/programs/withr/examples/with_connection.Rd.R,stringr,examples,NA,0,0.6219999999999999,NA,vanilla-gdb
out/programs/withr/examples/with_connection.Rd.R,stringr,examples,NA,0,0.9879999999999995,NA,dyntrace
out/programs/withr/examples/with_connection.Rd.R,stringr,examples,NA,0,2.1200000000000045,NA,dyntrace-gdb
out/programs/withr/examples/with_db_connection.Rd.R,stringr,examples,NA,0,0.5620000000000012,NA,vanilla
out/programs/withr/examples/with_db_connection.Rd.R,stringr,examples,NA,0,2.442,NA,vanilla-gdb
out/programs/withr/examples/with_db_connection.Rd.R,stringr,examples,NA,0,4.935000000000002,NA,dyntrace
out/programs/withr/examples/with_db_connection.Rd.R,stringr,examples,NA,0,9.885999999999996,NA,dyntrace-gdb
out/programs/withr/examples/with_dir.Rd.R,stringr,examples,NA,0,0.15700000000000003,NA,vanilla
